Time_Days	Prod_method	Encaps_rate	Hyper_wiener_index	Mean_part_size	pI	PVA_conc_inner_phase	PVA_Mw	PLGA_Mw	S_no	PLGA_visc	PLGA_to_Placticizer	pH_0_logd	Carboaromatic_ring_count	pH_14_logd	pH_4_logd	Ring_atom_count.2	Wiener_index	diss_add_conc	pH_9_logd	Dreiding_energy	Minimal_projection_radius.1	Inner_phase_volume	Q_perc
50.788000000000004	1	46.91	-429981997	58.22	5.3	0.0	5000	46000	39	0.63	10.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	23.916
57.803999999999995	1	46.91	-429981997	58.22	5.3	0.0	5000	46000	39	0.63	10.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	27.421999999999997
0.0	1	30.98	-429981997	62.0	5.3	0.0	5000	46000	39	0.63	2.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	0.0
1.002	1	30.98	-429981997	62.0	5.3	0.0	5000	46000	39	0.63	2.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	9.126
2.005	1	30.98	-429981997	62.0	5.3	0.0	5000	46000	39	0.63	2.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	12.235
8.854	1	30.98	-429981997	62.0	5.3	0.0	5000	46000	39	0.63	2.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	13.667
16.038	1	30.98	-429981997	62.0	5.3	0.0	5000	46000	39	0.63	2.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	14.89
23.89	1	30.98	-429981997	62.0	5.3	0.0	5000	46000	39	0.63	2.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	16.734
29.905	1	30.98	-429981997	62.0	5.3	0.0	5000	46000	39	0.63	2.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	18.791
36.754	1	30.98	-429981997	62.0	5.3	0.0	5000	46000	39	0.63	2.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	20.638
44.773	1	30.98	-429981997	62.0	5.3	0.0	5000	46000	39	0.63	2.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	25.801
50.788000000000004	1	30.98	-429981997	62.0	5.3	0.0	5000	46000	39	0.63	2.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	30.14
57.803999999999995	1	30.98	-429981997	62.0	5.3	0.0	5000	46000	39	0.63	2.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	35.098
1.0070000000000001	1	85.3	899761443	70.0	4.8	0.0	40500	23000	5	0.3	0.0	0.0	11	0.0	0.0	125	0	0.05	0.0	29156.8	0.0	2.5	13.187000000000001
